split,segment_id,filename,path,parent_id,original_file,start,end,duration_ms,samples
train,0,noise_train_000000.npy,data/noise_segments/train/noise_train_000000.npy,2,purenoise_2_00558.npy,22050,44100,500.0,22050
train,1,noise_train_000001.npy,data/noise_segments/train/noise_train_000001.npy,2,purenoise_2_01286.npy,22050,44100,500.0,22050
train,2,noise_train_000002.npy,data/noise_segments/train/noise_train_000002.npy,5,purenoise_5_01425.npy,22050,44100,500.0,22050
train,3,noise_train_000003.npy,data/noise_segments/train/noise_train_000003.npy,1,purenoise_1_00600.npy,22050,44100,500.0,22050
train,4,noise_train_000004.npy,data/noise_segments/train/noise_train_000004.npy,4,purenoise_4_00670.npy,22050,44100,500.0,22050
train,5,noise_train_000005.npy,data/noise_segments/train/noise_train_000005.npy,4,purenoise_4_01083.npy,0,22050,500.0,22050
train,6,noise_train_000006.npy,data/noise_segments/train/noise_train_000006.npy,2,purenoise_2_01088.npy,22050,44100,500.0,22050
train,7,noise_train_000007.npy,data/noise_segments/train/noise_train_000007.npy,3,purenoise_3_01366.npy,0,22050,500.0,22050
train,8,noise_train_000008.npy,data/noise_segments/train/noise_train_000008.npy,3,purenoise_3_00296.npy,0,22050,500.0,22050
train,9,noise_train_000009.npy,data/noise_segments/train/noise_train_000009.npy,5,purenoise_5_01981.npy,0,22050,500.0,22050
train,10,noise_train_000010.npy,data/noise_segments/train/noise_train_000010.npy,3,purenoise_3_01244.npy,22050,44100,500.0,22050
train,11,noise_train_000011.npy,data/noise_segments/train/noise_train_000011.npy,3,purenoise_3_01020.npy,0,22050,500.0,22050
train,12,noise_train_000012.npy,data/noise_segments/train/noise_train_000012.npy,3,purenoise_3_00431.npy,0,22050,500.0,22050
train,13,noise_train_000013.npy,data/noise_segments/train/noise_train_000013.npy,1,purenoise_1_00549.npy,0,22050,500.0,22050
train,14,noise_train_000014.npy,data/noise_segments/train/noise_train_000014.npy,4,purenoise_4_01867.npy,22050,44100,500.0,22050
train,15,noise_train_000015.npy,data/noise_segments/train/noise_train_000015.npy,5,purenoise_5_01614.npy,22050,44100,500.0,22050
train,16,noise_train_000016.npy,data/noise_segments/train/noise_train_000016.npy,5,purenoise_5_01847.npy,22050,44100,500.0,22050
train,17,noise_train_000017.npy,data/noise_segments/train/noise_train_000017.npy,2,purenoise_2_01328.npy,22050,44100,500.0,22050
train,18,noise_train_000018.npy,data/noise_segments/train/noise_train_000018.npy,4,purenoise_4_00386.npy,0,22050,500.0,22050
train,19,noise_train_000019.npy,data/noise_segments/train/noise_train_000019.npy,1,purenoise_1_01787.npy,0,22050,500.0,22050
train,20,noise_train_000020.npy,data/noise_segments/train/noise_train_000020.npy,2,purenoise_2_00465.npy,22050,44100,500.0,22050
train,21,noise_train_000021.npy,data/noise_segments/train/noise_train_000021.npy,4,purenoise_4_00106.npy,0,22050,500.0,22050
train,22,noise_train_000022.npy,data/noise_segments/train/noise_train_000022.npy,4,purenoise_4_01977.npy,0,22050,500.0,22050
train,23,noise_train_000023.npy,data/noise_segments/train/noise_train_000023.npy,4,purenoise_4_00266.npy,0,22050,500.0,22050
train,24,noise_train_000024.npy,data/noise_segments/train/noise_train_000024.npy,1,purenoise_1_00205.npy,22050,44100,500.0,22050
train,25,noise_train_000025.npy,data/noise_segments/train/noise_train_000025.npy,5,purenoise_5_01661.npy,0,22050,500.0,22050
train,26,noise_train_000026.npy,data/noise_segments/train/noise_train_000026.npy,5,purenoise_5_00667.npy,22050,44100,500.0,22050
train,27,noise_train_000027.npy,data/noise_segments/train/noise_train_000027.npy,5,purenoise_5_01085.npy,0,22050,500.0,22050
train,28,noise_train_000028.npy,data/noise_segments/train/noise_train_000028.npy,4,purenoise_4_00618.npy,0,22050,500.0,22050
train,29,noise_train_000029.npy,data/noise_segments/train/noise_train_000029.npy,5,purenoise_5_00072.npy,0,22050,500.0,22050
train,30,noise_train_000030.npy,data/noise_segments/train/noise_train_000030.npy,5,purenoise_5_01268.npy,0,22050,500.0,22050
train,31,noise_train_000031.npy,data/noise_segments/train/noise_train_000031.npy,5,purenoise_5_01010.npy,22050,44100,500.0,22050
train,32,noise_train_000032.npy,data/noise_segments/train/noise_train_000032.npy,4,purenoise_4_00423.npy,0,22050,500.0,22050
train,33,noise_train_000033.npy,data/noise_segments/train/noise_train_000033.npy,4,purenoise_4_01383.npy,0,22050,500.0,22050
train,34,noise_train_000034.npy,data/noise_segments/train/noise_train_000034.npy,1,purenoise_1_00567.npy,0,22050,500.0,22050
train,35,noise_train_000035.npy,data/noise_segments/train/noise_train_000035.npy,1,purenoise_1_00562.npy,22050,44100,500.0,22050
train,36,noise_train_000036.npy,data/noise_segments/train/noise_train_000036.npy,4,purenoise_4_01567.npy,22050,44100,500.0,22050
train,37,noise_train_000037.npy,data/noise_segments/train/noise_train_000037.npy,2,purenoise_2_00176.npy,22050,44100,500.0,22050
train,38,noise_train_000038.npy,data/noise_segments/train/noise_train_000038.npy,2,purenoise_2_01608.npy,22050,44100,500.0,22050
train,39,noise_train_000039.npy,data/noise_segments/train/noise_train_000039.npy,3,purenoise_3_01556.npy,0,22050,500.0,22050
train,40,noise_train_000040.npy,data/noise_segments/train/noise_train_000040.npy,4,purenoise_4_01481.npy,0,22050,500.0,22050
train,41,noise_train_000041.npy,data/noise_segments/train/noise_train_000041.npy,4,purenoise_4_01889.npy,22050,44100,500.0,22050
train,42,noise_train_000042.npy,data/noise_segments/train/noise_train_000042.npy,5,purenoise_5_00050.npy,22050,44100,500.0,22050
train,43,noise_train_000043.npy,data/noise_segments/train/noise_train_000043.npy,4,purenoise_4_00086.npy,22050,44100,500.0,22050
train,44,noise_train_000044.npy,data/noise_segments/train/noise_train_000044.npy,4,purenoise_4_00212.npy,0,22050,500.0,22050
